
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
 1.56566  0.705601  2 
 1.5666  0.702811  2 
 1.57799  0.662651  2 
 1.58736  0.62249  2 
 1.59478  0.582329  2 
 1.6003  0.542169  2 
 1.6039  0.502008  2 
 1.60556  0.461847  2 
 1.60521  0.421687  2 
 1.60273  0.381526  2 
 1.59796  0.341365  2 
 1.59067  0.301205  2 
 1.58056  0.261044  2 
 1.56725  0.220884  2 
 1.56566  0.216939  2 
 1.547  0.180723  2 
 1.5206  0.140562  2 
 1.48693  0.100402  2 
 1.46465  0.0786621  2 
 1.43604  0.060241  2 
 1.36364  0.0235152  2 
 1.34943  0.0200803  2 
 1.26263  0.0026414  2 
 1.16162  0.00177294  2 
 1.06061  0.0147683  2 

# Contour 3, label: 
-3.88889 -1.11744  2 
-3.95532 -1.10442  2 
-3.9899 -1.09711  2 
-4.09091 -1.06863  2 
-4.10331 -1.06426  2 
-4.19192 -1.02968  2 
-4.20379 -1.0241  2 
-4.27979 -0.983936  2 
-4.29293 -0.976037  2 
-4.33893 -0.943775  2 
-4.38803 -0.903614  2 
-4.39394 -0.897958  2 
-4.42575 -0.863454  2 
-4.45638 -0.823293  2 
-4.48094 -0.783133  2 
-4.49495 -0.753407  2 
-4.49942 -0.742972  2 
-4.51179 -0.702811  2 
-4.51944 -0.662651  2 
-4.52255 -0.62249  2 
-4.52126 -0.582329  2 
-4.51568 -0.542169  2 
-4.50587 -0.502008  2 
-4.49495 -0.470596  2 
-4.49164 -0.461847  2 
-4.47199 -0.421687  2 
-4.44789 -0.381526  2 
-4.41933 -0.341365  2 
-4.39394 -0.31043  2 
-4.38549 -0.301205  2 
-4.34408 -0.261044  2 
-4.29777 -0.220884  2 
-4.29293 -0.217045  2 
-4.24049 -0.180723  2 
-4.19192 -0.1498  2 
-4.17475 -0.140562  2 
-4.09488 -0.100402  2 
-4.09091 -0.0985174  2 
-3.99157 -0.060241  2 
-3.9899 -0.0596249  2 
-3.88889 -0.0312086  2 
-3.83106 -0.0200803  2 
-3.78788 -0.0119889  2 
-3.68687 -0.00188459  2 
-3.58586 -0.000850323  2 
-3.48485 -0.00942253  2 
-3.42733 -0.0200803  2 
-3.38384 -0.0286846  2 
-3.28283 -0.0602398  2 
-3.19578 -0.100402  2 
-3.18182 -0.107489  2 
-3.13003 -0.140562  2 
-3.08081 -0.175698  2 
-3.07491 -0.180723  2 
-3.03207 -0.220884  2 
-2.99429 -0.261044  2 
-2.9798 -0.278419  2 
-2.96315 -0.301205  2 
-2.93742 -0.341365  2 
-2.91536 -0.381526  2 
-2.89678 -0.421687  2 
-2.88157 -0.461847  2 
-2.87879 -0.471183  2 
-2.87041 -0.502008  2 
-2.86246 -0.542169  2 
-2.85751 -0.582329  2 
-2.85559 -0.62249  2 
-2.85681 -0.662651  2 
-2.8613 -0.702811  2 
-2.86927 -0.742972  2 
-2.87879 -0.775707  2 
-2.88119 -0.783133  2 
-2.8985 -0.823293  2 
-2.92082 -0.863454  2 
-2.94883 -0.903614  2 
-2.9798 -0.939735  2 
-2.98383 -0.943775  2 
-3.03133 -0.983936  2 
-3.08081 -1.01847  2 
-3.09066 -1.0241  2 
-3.17318 -1.06426  2 
-3.18182 -1.06789  2 
-3.28283 -1.10045  2 
-3.30018 -1.10442  2 
-3.38384 -1.12141  2 
-3.48485 -1.13398  2 
-3.58586 -1.13941  2 
-3.68687 -1.1383  2 
-3.78788 -1.13095  2 
-3.88889 -1.11744  2 

# Contour 4, label: 
-0.959596 -3.0941  2 
-1.03716 -3.07229  2 
-1.06061 -3.0645  2 
-1.11476 -3.03213  2 
-1.16162 -2.99794  2 
-1.1673 -2.99197  2 
-1.19989 -2.95181  2 
-1.22621 -2.91165  2 
-1.24689 -2.87149  2 
-1.26245 -2.83133  2 
-1.26263 -2.8307  2 
-1.27144 -2.79116  2 
-1.27682 -2.751  2 
-1.27872 -2.71084  2 
-1.2772 -2.67068  2 
-1.27225 -2.63052  2 
-1.26381 -2.59036  2 
-1.26263 -2.5864  2 
-1.24984 -2.5502  2 
-1.23132 -2.51004  2 
-1.20819 -2.46988  2 
-1.18009 -2.42972  2 
-1.16162 -2.40743  2 
-1.14358 -2.38956  2 
-1.09646 -2.3494  2 
-1.06061 -2.32295  2 
-1.03712 -2.30924  2 
-0.959596 -2.26938  2 
-0.958824 -2.26908  2 
-0.858586 -2.2342  2 
-0.836835 -2.22892  2 
-0.757576 -2.21128  2 
-0.656566 -2.19758  2 
-0.555556 -2.19216  2 
-0.454545 -2.19507  2 
-0.353535 -2.20696  2 
-0.253561 -2.22892  2 
-0.252525 -2.22919  2 
-0.151515 -2.26869  2 
-0.15079 -2.26908  2 
-0.0900051 -2.30924  2 
-0.0505051 -2.34576  2 
-0.0473211 -2.3494  2 
-0.0223266 -2.38956  2 
-0.00760894 -2.42972  2 
-0.00167388 -2.46988  2 
-0.0033237 -2.51004  2 
-0.0115828 -2.5502  2 
-0.0256446 -2.59036  2 
-0.0448327 -2.63052  2 
-0.0505051 -2.63987  2 
-0.0706112 -2.67068  2 
-0.101321 -2.71084  2 
-0.135767 -2.751  2 
-0.151515 -2.76746  2 
-0.176391 -2.79116  2 
-0.221968 -2.83133  2 
-0.252525 -2.85663  2 
-0.272698 -2.87149  2 
-0.330131 -2.91165  2 
-0.353535 -2.92736  2 
-0.395739 -2.95181  2 
-0.454545 -2.9852  2 
-0.469066 -2.99197  2 
-0.555556 -3.03183  2 
-0.556414 -3.03213  2 
